User_ID,Age_Group,Occupation,Region,Google_Products_Used,Most_Used_Product,Usage_Frequency,Satisfaction_Score,Non_Adoption_Reason,Data_Source
U0001,25-34,Other,West,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Meet,Google Meet,Daily,5,Not aware of product,Synthetic
U0002,25-34,Student,North,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,Google Drive,Daily,3,Prefer competitor,Synthetic
U0003,55+,Other,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,YouTube,Daily,3,Don't need it,Synthetic
U0004,18-24,Healthcare Professional,East,Google Search; Gmail; Google Maps; Google Chrome; Google Drive; Google Pay,Gmail,Monthly,4,Prefer competitor,Synthetic
U0005,18-24,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Pay,Google Maps,Weekly,4,Prefer competitor,Synthetic
U0006,18-24,IT Professional,South,Google Search; YouTube; Google Maps; Google Chrome; Google Pay,Google Search,Weekly,3,Don't need it,Synthetic
U0007,18-24,Other,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive,YouTube,Weekly,4,Difficult to use,Synthetic
U0008,35-44,Student,Central,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Pay,Google Maps,Daily,3,Prefer competitor,Synthetic
U0009,18-24,Other,South,Google Search; YouTube; Gmail; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Search,Monthly,4,Prefer competitor,Synthetic
U0010,18-24,Business Owner,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs,Google Drive,Daily,2,Privacy concerns,Synthetic
U0011,18-24,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs,Google Search,Weekly,5,Prefer competitor,Synthetic
U0012,25-34,Teacher,South,Google Search; Gmail; Google Maps; Google Photos; Google Docs; Google Pay,Google Maps,Weekly,5,Difficult to use,Synthetic
U0013,35-44,Business Owner,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Pay,Google Pay,Monthly,3,Prefer competitor,Synthetic
U0014,25-34,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Pay,Google Pay,Daily,5,Don't need it,Synthetic
U0015,25-34,IT Professional,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Docs; Google Pay,Google Chrome,Daily,5,Limited internet/device,Synthetic
U0016,45-54,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Drive; Google Photos; Google Meet,YouTube,Daily,4,Prefer competitor,Synthetic
U0017,45-54,Student,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Gmail,Daily,4,Prefer competitor,Synthetic
U0018,25-34,Student,East,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Photos; Google Meet; Google Docs,Google Maps,Monthly,4,Privacy concerns,Synthetic
U0019,18-24,IT Professional,West,Google Search; YouTube; Google Maps; Google Chrome; Google Drive; Google Photos; Google Docs; Google Pay,Google Photos,Weekly,4,Don't need it,Synthetic
U0020,18-24,Student,South,Google Search; YouTube; Gmail; Google Maps; Google Photos; Google Docs; Google Pay,Gmail,Weekly,1,Prefer competitor,Synthetic
U0021,18-24,Student,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,YouTube,Daily,1,Difficult to use,Synthetic
U0022,25-34,IT Professional,West,Google Search; Google Chrome; Google Docs,Google Docs,Monthly,4,Limited internet/device,Synthetic
U0023,45-54,Student,North,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Meet; Google Pay,Google Maps,Weekly,4,Difficult to use,Synthetic
U0024,18-24,IT Professional,Central,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Pay,Google Maps,Daily,5,Privacy concerns,Synthetic
U0025,18-24,Other,East,Google Search; YouTube; Google Maps; Google Chrome; Google Photos; Google Meet,Google Maps,Daily,2,Prefer competitor,Synthetic
U0026,25-34,Business Owner,North,Google Search; YouTube; Gmail; Google Photos; Google Pay,Google Photos,Weekly,5,Difficult to use,Synthetic
U0027,45-54,IT Professional,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs,Google Chrome,Weekly,4,Prefer competitor,Synthetic
U0028,35-44,Business Owner,South,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Pay,Google Pay,Daily,4,Difficult to use,Synthetic
U0029,18-24,Other,North,Google Search; YouTube; Google Maps; Google Drive; Google Photos; Google Pay,Google Pay,Daily,5,Not aware of product,Synthetic
U0030,25-34,Teacher,Central,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Chrome,Monthly,5,No reason / Uses products,Synthetic
U0031,35-44,IT Professional,South,Google Search; YouTube; Gmail; Google Chrome; Google Docs,YouTube,Daily,3,Don't need it,Synthetic
U0032,35-44,IT Professional,Central,Google Search; YouTube; Gmail; Google Chrome; Google Drive; Google Photos; Google Meet; Google Docs; Google Pay,Google Search,Daily,5,Difficult to use,Synthetic
U0033,25-34,Teacher,West,Google Search; YouTube; Gmail; Google Maps; Google Chrome; Google Drive; Google Docs; Google Pay,Google Docs,Weekly,4,Privacy concerns,Synthetic
